0719sanmarcos.bansefi.elipgodns.com,['201.113.19.182'],['201.113.19.182'] valid
0107serapiorendon.bansefi.elipgodns.com,['187.220.192.32'],['187.220.192.32'] valid
0712taxcodealarcon.bansefi.elipgodns.com,['187.227.213.211'],['187.227.213.211'] valid
0721ometepec.bansefi.elipgodns.com,['189.143.92.233'],['189.143.92.233'] valid
0716coyucatalan.bansefi.elipgodns.com,['187.227.88.39'],['187.227.88.39'] valid
0844valledebravo.bansefi.elipgodns.com,['187.234.139.53'],['187.234.139.53'] valid
0715arcelia.bansefi.elipgodns.com,['187.227.73.33'],['187.227.73.33'] valid
0718coyucabenitez.elipgodns.com,['189.143.64.116'],['189.143.64.116'] valid
1016putla.bansefi.elipgodns.com,['201.114.213.4'],['201.114.213.4'] valid
1015matiasromero.bansefi.elipgodns.com,['187.143.2.102'],['187.143.2.102'] valid
1014emilianozapata.bansefi.elipgodns.com,['187.225.184.157'],['187.225.184.157'] valid
1017sanpedropochutla.bansefi.elipgodns.com,['187.143.14.250'],['187.143.14.250'] valid
0714teloloapan.bansefi.elipgodns.com,['187.227.215.211'],['187.227.215.211'] valid
0845ixtapandelasal.bansefi.elipgodns.com,['187.234.135.187'],['187.234.135.187'] valid
0846tepalcingo.bansefi.elipgodns.com,['187.225.237.55'],['187.225.237.55'] valid
0908alpina.elipgodns.com,['127.0.0.1'],['127.0.0.1'] valid
1012chilon.bansefi.elipgodns.com,['187.135.148.68'],['187.135.148.68'] valid
1020piedrasnegras.bansefi.elipgodns.com,['189.179.221.126'],['189.179.221.126'] valid
1008zacapu.bansefi.elipgodns.com,['187.174.185.58'],['187.174.185.58'] valid
1013lasmargaritas.bansefi.elipgodns.com,['187.225.8.192'],['189.250.23.39'] pending
1019escarcega.bansefi.elipgodns.com,['189.176.167.51'],['189.176.167.51'] valid
1018xicotepec.bansefi.elipgodns.com,['187.159.43.207'],['187.159.43.207'] valid
1021sanpedro.bansefi.elipgodns.com,['189.244.68.243'],['189.244.68.243'] valid
1022guanajuato.bansefi.elipgodns.com,['189.253.99.117'],['189.253.99.117'] valid
1026chilapaalvarez.bansefi.elipgodns.com,['187.226.202.193'],['187.226.202.193'] valid
1025atoyacalvarez.bansefi.elipgodns.com,['189.230.13.24'],['189.230.13.24'] valid
1028olinala.bansefi.elipgodns.com,['187.227.29.248'],['187.227.29.248'] valid
