1120,192.168.226.194,DH-XVR5216A-I2,7D0C3B8PAZD3441, c1, 192.168.226.195, IPC-HFW2431T-ZS-S2, 6E02D2DPAGF3A3C
1120,192.168.226.194,DH-XVR5216A-I2,7D0C3B8PAZD3441, c2, 192.168.226.196, IP Camera, 7D0C17EPAG8CB2A
1120,192.168.226.194,DH-XVR5216A-I2,7D0C3B8PAZD3441, c3, 192.168.226.197, IP Camera, 7D0C17EPAG4FDD7
1120,192.168.226.194,DH-XVR5216A-I2,7D0C3B8PAZD3441, c4, 192.168.226.198, IP Camera, 7D0C17EPAG31F5A
1120,192.168.226.194,DH-XVR5216A-I2,7D0C3B8PAZD3441, c5, 192.168.226.199, IP Camera, 7D0C17EPAGE2CD5
1120,192.168.226.194,DH-XVR5216A-I2,7D0C3B8PAZD3441, c6, 192.168.226.200, IPC-HFW2431T-ZS-S2, 6E02D2DPAG0C25A
1115,192.168.227.82,DH-XVR5216A-I2,7D0C3B8PAZ6DB3C, c1, 192.168.227.83, IP Camera, 7E06A1CPAG0501D
1115,192.168.227.82,DH-XVR5216A-I2,7D0C3B8PAZ6DB3C, c2, 192.168.227.84, IP Camera, 7E06A1CPAG15DD2
1115,192.168.227.82,DH-XVR5216A-I2,7D0C3B8PAZ6DB3C, c3, 192.168.227.85, IP Camera, 7D0C17EPAG64E4A
1115,192.168.227.82,DH-XVR5216A-I2,7D0C3B8PAZ6DB3C, c4, 192.168.227.86, IP Camera, 7D0C17EPAGE112A
1115,192.168.227.82,DH-XVR5216A-I2,7D0C3B8PAZ6DB3C, c5, 192.168.227.87, IP Camera, 7D0C17EPAG1F838
1115,192.168.227.82,DH-XVR5216A-I2,7D0C3B8PAZ6DB3C, c6, 192.168.227.88, IP Camera, 7D0C17EPAGA6126
1104,192.168.226.146,DH-XVR5216A-I2,7D0C3B8PAZ85170, c1, 192.168.226.147, IP Camera, 7E06A1CPAGE585C
1104,192.168.226.146,DH-XVR5216A-I2,7D0C3B8PAZ85170, c2, 192.168.226.148, IP Camera, 7E06A1CPAG244A5
1104,192.168.226.146,DH-XVR5216A-I2,7D0C3B8PAZ85170, c3, 192.168.226.149, IP Camera, 7D0C17EPAGD9AC3
1104,192.168.226.146,DH-XVR5216A-I2,7D0C3B8PAZ85170, c4, 192.168.226.150, IP Camera, 7D0C17EPAG55EE2
1104,192.168.226.146,DH-XVR5216A-I2,7D0C3B8PAZ85170, c5, 192.168.226.151, IP Camera, 7D0C17EPAGDA5DF
1104,192.168.226.146,DH-XVR5216A-I2,7D0C3B8PAZ85170, c6, 192.168.226.152, IP Camera, 7D0C17EPAG09D5E
1114,192.168.227.66,DH-XVR5216A-I2,7D0C3B8PAZ155C8, c1, 192.168.227.67, IP Camera, 7D0C17EPAGF8197
1114,192.168.227.66,DH-XVR5216A-I2,7D0C3B8PAZ155C8, c2, 192.168.227.68, IP Camera, 7D0C17EPAG941E1
