,sucursal,nombre,camara,first_video,last_video,segmento_inicio,segmento_fin,tiempo_segmento,last_update
0,233,Poza Rica Centro,11566,2023-01-16 06:00:00,2023-04-19 18:00:00,2023-04-19 06:00:00,2023-04-19 11:00:00,"0d , 5h",2023-04-19 14:23:39
1,233,Poza Rica Centro,11568,2023-01-16 06:00:00,2023-04-19 18:00:00,2023-04-19 06:00:00,2023-04-19 11:00:00,"0d , 5h",2023-04-19 14:23:44
2,233,Poza Rica Centro,11569,2023-01-16 06:00:00,2023-04-19 18:00:00,2023-04-19 06:00:00,2023-04-19 11:00:00,"0d , 5h",2023-04-19 14:23:46
3,266,Puerto Vallarta,12516,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 18:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 17:36:35
4,266,Puerto Vallarta,12516,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 15:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 14:27:06
5,266,Puerto Vallarta,12516,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 09:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 08:14:43
6,266,Puerto Vallarta,12516,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 08:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 07:06:11
7,266,Puerto Vallarta,12516,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 07:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 06:19:35
8,266,Puerto Vallarta,12516,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 06:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 05:04:50
9,266,Puerto Vallarta,12516,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 05:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 04:17:51
10,266,Puerto Vallarta,12516,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 04:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 03:05:03
11,266,Puerto Vallarta,12516,2004-01-01 01:00:00,2085-01-14 01:00:00,2023-04-19 03:00:00,2085-01-14 01:00:00,"34d , 22h",2023-04-19 02:17:37
