,sucursal,nombre,ip,channel,starttime,endtime,diff
0,2927,,192.169.53.162,3,2023-04-18 03:32:20,2023-04-18 04:57:03,84.71666666666667
1,2633,,192.169.59.34,0,2023-04-18 03:22:25,2023-04-18 23:59:00,1236.5833333333333
2,2628,"AMATITLAN, VERACRUZ",192.169.44.178,0,2023-04-18 03:00:00,2023-04-18 23:59:00,1259.0
3,2601,,192.169.42.242,4,2023-04-17 22:59:00,2023-04-18 05:37:13,398.21666666666664
4,2601,,192.169.42.242,5,2023-04-18 12:01:45,2023-04-18 23:59:00,717.25
5,2530,,192.169.38.146,0,2023-04-17 22:59:00,2023-04-18 08:32:04,573.0666666666667
6,2530,,192.169.38.146,0,2023-04-18 12:27:49,2023-04-18 15:38:31,190.7
7,2530,,192.169.38.146,1,2023-04-17 22:59:00,2023-04-18 08:32:05,573.0833333333334
8,2530,,192.169.38.146,1,2023-04-18 17:40:36,2023-04-18 23:59:00,378.4
9,2530,,192.169.38.146,1,2023-04-18 12:27:31,2023-04-18 15:38:30,190.98333333333332
10,2530,,192.169.38.146,2,2023-04-17 22:59:00,2023-04-18 08:32:05,573.0833333333334
11,2530,,192.169.38.146,2,2023-04-18 17:40:00,2023-04-18 23:59:00,379.0
12,2530,,192.169.38.146,2,2023-04-18 12:11:15,2023-04-18 15:38:30,207.25
13,2530,,192.169.38.146,3,2023-04-17 22:59:00,2023-04-18 08:32:35,573.5833333333334
14,2530,,192.169.38.146,3,2023-04-18 17:25:32,2023-04-18 23:59:00,393.46666666666664
15,2530,,192.169.38.146,3,2023-04-18 12:34:53,2023-04-18 15:38:59,184.1
16,2530,,192.169.38.146,4,2023-04-17 22:59:00,2023-04-18 08:32:04,573.0666666666667
17,2530,,192.169.38.146,4,2023-04-18 17:51:41,2023-04-18 23:59:00,367.31666666666666
18,2530,,192.169.38.146,4,2023-04-18 12:34:53,2023-04-18 15:38:30,183.61666666666667
19,2530,,192.169.38.146,5,2023-04-17 22:59:00,2023-04-18 08:32:33,573.55
20,2530,,192.169.38.146,5,2023-04-18 17:40:51,2023-04-18 23:59:00,378.15
21,2530,,192.169.38.146,5,2023-04-18 12:34:53,2023-04-18 15:39:29,184.6
22,2529,,192.169.38.130,0,2023-04-18 17:51:41,2023-04-18 23:59:00,367.31666666666666
23,2507,"TETEPANGO, CENTRO",192.169.35.130,0,2023-04-18 00:11:06,2023-04-18 00:30:19,19.216666666666665
24,2507,"TETEPANGO, CENTRO",192.169.35.130,1,2023-04-18 00:11:07,2023-04-18 00:30:18,19.183333333333334
25,2507,"TETEPANGO, CENTRO",192.169.35.130,2,2023-04-18 00:11:05,2023-04-18 00:30:20,19.25
26,2507,"TETEPANGO, CENTRO",192.169.35.130,3,2023-04-18 00:11:07,2023-04-18 00:30:19,19.2
27,2507,"TETEPANGO, CENTRO",192.169.35.130,4,2023-04-18 00:11:06,2023-04-18 00:30:49,19.716666666666665
28,2507,"TETEPANGO, CENTRO",192.169.35.130,5,2023-04-18 00:11:07,2023-04-18 00:31:17,20.166666666666668
29,2452,,192.169.50.82,0,2023-04-18 08:00:00,2023-04-18 23:59:00,959.0
30,2429,,192.169.35.226,0,2023-04-18 03:00:00,2023-04-18 23:59:00,1259.0
31,2400,,192.169.53.18,0,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
32,2400,,192.169.53.18,0,2023-04-18 07:41:08,2023-04-18 07:44:56,3.8
33,2400,,192.169.53.18,1,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
34,2400,,192.169.53.18,1,2023-04-18 07:41:08,2023-04-18 07:44:57,3.816666666666667
35,2400,,192.169.53.18,2,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
36,2400,,192.169.53.18,2,2023-04-18 07:41:08,2023-04-18 07:44:57,3.816666666666667
37,2400,,192.169.53.18,3,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
38,2400,,192.169.53.18,3,2023-04-18 07:41:08,2023-04-18 07:44:57,3.816666666666667
39,2400,,192.169.53.18,4,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
40,2400,,192.169.53.18,4,2023-04-18 07:41:08,2023-04-18 07:44:57,3.816666666666667
41,2400,,192.169.53.18,5,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
42,2400,,192.169.53.18,5,2023-04-18 07:41:08,2023-04-18 07:44:57,3.816666666666667
43,2400,,192.169.53.18,6,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
44,2400,,192.169.53.18,7,2023-04-18 07:41:08,2023-04-18 23:59:00,977.8666666666667
45,2400,,192.169.53.18,7,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
46,2400,,192.169.53.18,8,2023-04-18 07:41:08,2023-04-18 23:59:00,977.8666666666667
47,2400,,192.169.53.18,8,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
48,2400,,192.169.53.18,9,2023-04-18 07:41:08,2023-04-18 23:59:00,977.8666666666667
49,2400,,192.169.53.18,9,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
50,2400,,192.169.53.18,10,2023-04-18 07:41:08,2023-04-18 23:59:00,977.8666666666667
51,2400,,192.169.53.18,10,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
52,2400,,192.169.53.18,11,2023-04-18 07:41:08,2023-04-18 23:59:00,977.8666666666667
53,2400,,192.169.53.18,11,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
54,2400,,192.169.53.18,12,2023-04-18 07:41:08,2023-04-18 23:59:00,977.8666666666667
55,2400,,192.169.53.18,12,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
56,2400,,192.169.53.18,13,2023-04-18 07:41:08,2023-04-18 23:59:00,977.8666666666667
57,2400,,192.169.53.18,13,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
58,2400,,192.169.53.18,14,2023-04-18 07:41:08,2023-04-18 23:59:00,977.8666666666667
59,2400,,192.169.53.18,14,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
60,2400,,192.169.53.18,15,2023-04-18 07:41:08,2023-04-18 23:59:00,977.8666666666667
61,2400,,192.169.53.18,15,2023-04-18 06:47:58,2023-04-18 06:49:13,1.25
62,2399,JUXTLAHUACA,192.169.32.34,0,2023-04-18 07:41:08,2023-04-18 23:59:00,977.8666666666667
63,2378,COYOACAN 2,192.169.5.66,0,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
64,2378,COYOACAN 2,192.169.5.66,1,2023-04-17 22:59:00,2023-04-18 14:42:01,943.0166666666667
65,2378,COYOACAN 2,192.169.5.66,1,2023-04-18 19:19:10,2023-04-18 23:59:00,279.8333333333333
66,2378,COYOACAN 2,192.169.5.66,1,2023-04-18 16:55:45,2023-04-18 18:36:29,100.73333333333333
67,2378,COYOACAN 2,192.169.5.66,2,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
68,2378,COYOACAN 2,192.169.5.66,2,2023-04-18 19:19:22,2023-04-18 23:59:00,279.6333333333333
69,2378,COYOACAN 2,192.169.5.66,3,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
70,2378,COYOACAN 2,192.169.5.66,3,2023-04-18 19:19:11,2023-04-18 23:59:00,279.81666666666666
71,2378,COYOACAN 2,192.169.5.66,4,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
72,2378,COYOACAN 2,192.169.5.66,4,2023-04-18 19:19:10,2023-04-18 23:59:00,279.8333333333333
73,2378,COYOACAN 2,192.169.5.66,5,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
74,2378,COYOACAN 2,192.169.5.66,5,2023-04-18 19:19:20,2023-04-18 23:59:00,279.6666666666667
75,2378,COYOACAN 2,192.169.5.66,6,2023-04-17 22:59:00,2023-04-18 08:35:31,576.5166666666667
76,2378,COYOACAN 2,192.169.5.66,6,2023-04-18 19:19:16,2023-04-18 23:59:00,279.73333333333335
77,2378,COYOACAN 2,192.169.5.66,7,2023-04-17 22:59:00,2023-04-18 08:35:32,576.5333333333333
