
sucursal:203, cameras:5,videos_lost:1 
sucursal:205, cameras:13,videos_lost:0 
sucursal:208, cameras:9,videos_lost:1 
sucursal:206, cameras:10,videos_lost:0 
sucursal:207, cameras:12,videos_lost:1 
sucursal:203, cameras:5,videos_lost:2 
sucursal:208, cameras:9,videos_lost:0 
sucursal:206, cameras:10,videos_lost:0 
sucursal:205, cameras:13,videos_lost:0 
sucursal:203, cameras:5,videos_lost:2 
sucursal:204, cameras:7,videos_lost:4 
sucursal:209, cameras:8,videos_lost:3 
sucursal:208, cameras:9,videos_lost:2 
sucursal:206, cameras:10,videos_lost:0 
sucursal:205, cameras:13,videos_lost:0 
sucursal:204, cameras:7,videos_lost:2 
sucursal:206, cameras:10,videos_lost:0 
sucursal:208, cameras:9,videos_lost:1 
sucursal:203, cameras:5,videos_lost:2 
sucursal:208, cameras:9,videos_lost:2 
sucursal:203, cameras:5,videos_lost:0 
sucursal:210, cameras:9,videos_lost:3 
sucursal:208, cameras:9,videos_lost:2 
sucursal:204, cameras:7,videos_lost:2 
sucursal:208, cameras:9,videos_lost:1 
sucursal:209, cameras:8,videos_lost:1 
sucursal:206, cameras:10,videos_lost:0 
sucursal:208, cameras:9,videos_lost:2 
sucursal:210, cameras:9,videos_lost:2 
sucursal:208, cameras:9,videos_lost:4 
sucursal:206, cameras:10,videos_lost:0 
sucursal:206, cameras:10,videos_lost:0 
sucursal:204, cameras:7,videos_lost:2 
sucursal:209, cameras:8,videos_lost:0 
sucursal:205, cameras:13,videos_lost:3 
sucursal:207, cameras:12,videos_lost:3 
sucursal:206, cameras:10,videos_lost:0 
sucursal:205, cameras:13,videos_lost:1 
sucursal:206, cameras:10,videos_lost:0 
sucursal:205, cameras:13,videos_lost:1 
sucursal:210, cameras:9,videos_lost:3 
sucursal:206, cameras:10,videos_lost:0 
sucursal:212, cameras:11,videos_lost:1 
sucursal:204, cameras:7,videos_lost:0 
sucursal:205, cameras:13,videos_lost:1 
sucursal:205, cameras:13,videos_lost:1 
sucursal:209, cameras:8,videos_lost:0 
sucursal:204, cameras:7,videos_lost:0 
sucursal:212, cameras:11,videos_lost:1 
sucursal:210, cameras:9,videos_lost:3 
sucursal:213, cameras:12,videos_lost:1 
sucursal:207, cameras:12,videos_lost:3 
sucursal:209, cameras:8,videos_lost:0 
sucursal:212, cameras:11,videos_lost:1 
sucursal:204, cameras:7,videos_lost:0 
sucursal:212, cameras:11,videos_lost:1 
sucursal:215, cameras:11,videos_lost:0 
sucursal:213, cameras:12,videos_lost:1 
sucursal:209, cameras:8,videos_lost:0 
sucursal:212, cameras:11,videos_lost:4 
sucursal:205, cameras:13,videos_lost:0 
sucursal:215, cameras:11,videos_lost:0 
sucursal:213, cameras:12,videos_lost:1 
sucursal:209, cameras:8,videos_lost:0 
sucursal:205, cameras:13,videos_lost:1 
sucursal:212, cameras:11,videos_lost:4 
sucursal:205, cameras:13,videos_lost:1 
sucursal:207, cameras:12,videos_lost:3 
sucursal:212, cameras:11,videos_lost:4 
sucursal:205, cameras:13,videos_lost:1 
sucursal:210, cameras:9,videos_lost:3 
sucursal:215, cameras:11,videos_lost:0 
sucursal:212, cameras:11,videos_lost:4 
sucursal:205, cameras:13,videos_lost:1 
sucursal:207, cameras:12,videos_lost:2 
sucursal:213, cameras:12,videos_lost:1 
sucursal:207, cameras:12,videos_lost:3 
sucursal:215, cameras:11,videos_lost:0 
sucursal:212, cameras:11,videos_lost:1 
sucursal:215, cameras:11,videos_lost:2 
sucursal:215, cameras:11,videos_lost:2 
sucursal:215, cameras:11,videos_lost:2 
sucursal:213, cameras:12,videos_lost:0 
sucursal:207, cameras:12,videos_lost:3 
sucursal:210, cameras:9,videos_lost:4 
sucursal:215, cameras:11,videos_lost:2 
sucursal:213, cameras:12,videos_lost:0 
sucursal:212, cameras:11,videos_lost:1 
sucursal:217, cameras:7,videos_lost:0 
sucursal:207, cameras:12,videos_lost:2 
sucursal:215, cameras:11,videos_lost:0 
sucursal:212, cameras:11,videos_lost:1 
sucursal:218, cameras:12,videos_lost:0 
sucursal:221, cameras:9,videos_lost:4 
sucursal:215, cameras:11,videos_lost:0 
sucursal:221, cameras:9,videos_lost:4 
sucursal:207, cameras:12,videos_lost:3 
