Cc,Sucursal,GRABADOR,ALARMA,CONTROL,SINCROBACK
1266,Huamixtitlan,192.168.239.210,192.168.239.217,192.169.239.218,192.169.239.219
1382,San Francisco Culhuacan,192.168.229.98,192.168.229.105 ,192.168.229.106,192.168.229.107
1183,Nezahualcoyotl,192.168.238.50,192.168.238.57,192.168.238.58,192.168.238.59
1138,Teotihuacan,192.169.3.114,192.169.3.121,192.168.3.122,192.168.3.123
1611,Peñon,192.168.235.114,192.168.235.121,192.168.235.122,192.168.235.123
1185,Temascalcingo,192.168.229.194,192.168.229.201,192.168.229.202,192.168.229.203
1104,Temamatla,192.168.226.146,192.168.226.153,192.168.226.154,192.168.226.155
1165,Tlahuac,192.168.229.114,192.168.229.121,192.168.229.122,192.168.229.123
1612,Santiago Tepalcatlan,192.168.235.98,192.168.235.105,192.168.235.106,192.168.235.107
1164,Tlatelolco,192.168.230.66,192.168.230.73,192.168.230.74,192.168.230.75
2014,Naucalpan,192.168.238.98,192.168.238.105,192.168.238.106,192.168.238.107
1398,Tultitlan,192.168.238.114,192.164.238.121,192.168.238.122,192.168.238.123
1383,Sta Cruz Meyehualco,192.168.230.82,192.168.230.89,192.168.230.90,192.168.230.91
1608,Magdalena Contreras,192.168.235.130,192.168.235.137,192.168.235.138,192.168.235.139
1607,Aquiles Serdan,192.168.235.82,192.168.235.89,192.168.235.90,192.168.235.91
1358,Centenario Zaragoza,192.168.238.2,192.168.238.9,192.168.238.10,192.168.238.11
1163,Doctor Vertiz,192.168.229.82,192.168.229.89,192.168.229.90,192.168.229.91
1610,Mipalta  Alta,192.168.235.146,192.168.235.153,192.168.235.154,192.168.235.155
1137,Jilotepec,192.168.227.242,192.168.227.249,192.168.227.250,192.168.227.251
1609,Observatorio,192.168.235.162,192.168.235.169,192.168.235.170,192.168.235.171
1143,Heroica Puebla ,192.168.228.82,192.168.228.89,192.168.228.90,192.168.228.91
1784,Tepetlixpa,192.168.238.34,192.168.238.41,19.168.238.42,19.168.238.43
1894,San Pablo Tepetzingo Puebla,192.168.250.130,192.168.250.137,192.168.250.138,192.168.250.139
1186,Zumpango de Ocampo,192.168.237.34,192.168.237.41,192.168.237.42,192.168.237.43
1247,Salamanca,192.168.239.2,192.168.239.9,192.168.239.10,192.168.239.11
